Country,Year,AverageTemperature
Africa,2000,24.588083333333334
Africa,2001,24.841166666666666
Africa,2002,24.961333333333332
Africa,2003,25.025583333333334
Africa,2004,24.895916666666665
Africa,2005,25.156166666666667
Africa,2006,24.818916666666667
Africa,2007,24.8515
Africa,2008,24.754666666666665
Africa,2009,25.0265
Africa,2010,25.4725
Africa,2011,24.7865
Africa,2012,24.725916666666667
Africa,2013,24.318150470326202
Australia,2000,21.709666666666667
Australia,2001,21.79275
Australia,2002,22.46083333333333
Australia,2003,22.44033333333333
Australia,2004,22.286916666666666
Australia,2005,22.896833333333333
Australia,2006,22.264416666666666
Australia,2007,22.48675
Australia,2008,22.225916666666667
Australia,2009,22.690583333333333
Australia,2010,22.078166666666664
Australia,2011,21.767
Australia,2012,22.0245
Australia,2013,21.59292824810398
Bangladesh,2000,25.150166666666667
Bangladesh,2001,25.337
Bangladesh,2002,25.380333333333336
Bangladesh,2003,25.280833333333334
Bangladesh,2004,25.386333333333337
Bangladesh,2005,25.532
Bangladesh,2006,25.765666666666664
Bangladesh,2007,25.34375
Bangladesh,2008,25.389499999999998
Bangladesh,2009,25.904916666666665
Bangladesh,2010,25.94033333333333
Bangladesh,2011,25.205083333333334
Bangladesh,2012,25.533583333333336
Bangladesh,2013,24.992594914770645
Belgium,2000,11.03425
Belgium,2001,10.543333333333333
Belgium,2002,11.03575
Belgium,2003,10.870249999999999
Belgium,2004,10.452583333333333
Belgium,2005,10.727833333333335
Belgium,2006,11.09525
Belgium,2007,11.1455
Belgium,2008,10.504916666666666
Belgium,2009,10.6285
Belgium,2010,9.36175
Belgium,2011,11.305333333333332
Belgium,2012,10.351833333333333
Belgium,2013,10.852706025881757
Brazil,2000,25.1965
Brazil,2001,25.504416666666668
Brazil,2002,25.80033333333333
Brazil,2003,25.621
Brazil,2004,25.496499999999997
Brazil,2005,25.806
Brazil,2006,25.517
Brazil,2007,25.668000000000003
Brazil,2008,25.41033333333333
Brazil,2009,25.600583333333333
Brazil,2010,25.812416666666667
Brazil,2011,25.428916666666666
Brazil,2012,25.717083333333335
Brazil,2013,24.44203935921509
Canada,2000,2.9978750000000005
Canada,2001,3.8323750000000003
Canada,2002,2.68475
Canada,2003,3.6681250000000003
Canada,2004,2.5774999999999997
Canada,2005,3.940625
Canada,2006,6.5202857142857145
Canada,2007,5.456571428571428
Canada,2008,3.7205000000000004
Canada,2009,3.35525
Canada,2010,3.0596666666666668
Canada,2011,3.688625
Canada,2012,6.244428571428571
Canada,2013,6.6273333333333335
China,2000,7.238083333333333
China,2001,7.596416666666666
China,2002,7.7956666666666665
China,2003,7.521999999999999
China,2004,7.71275
China,2005,7.4135
China,2006,7.948
China,2007,8.12675
China,2008,7.566083333333334
China,2009,7.8095
China,2010,7.548416666666667
China,2011,7.357083333333333
China,2012,7.077083333333333
China,2013,10.172594914770647
Colombia,2000,25.030166666666663
Colombia,2001,25.411916666666666
Colombia,2002,25.57075
Colombia,2003,25.655333333333335
Colombia,2004,25.553916666666666
Colombia,2005,25.670833333333334
Colombia,2006,25.476583333333334
Colombia,2007,25.494
Colombia,2008,25.153916666666664
Colombia,2009,25.618333333333336
Colombia,2010,25.68766666666667
Colombia,2011,25.246916666666667
Colombia,2012,25.381333333333334
Colombia,2013,24.64770602588176
Denmark (Europe),2000,9.582916666666668
Denmark (Europe),2001,8.62375
Denmark (Europe),2002,9.44325
Denmark (Europe),2003,8.998666666666667
Denmark (Europe),2004,9.021749999999999
Denmark (Europe),2005,9.054416666666667
Denmark (Europe),2006,9.683833333333334
Denmark (Europe),2007,9.763499999999999
Denmark (Europe),2008,9.730083333333333
Denmark (Europe),2009,9.130416666666667
Denmark (Europe),2010,7.295333333333333
Denmark (Europe),2011,9.252833333333333
Denmark (Europe),2012,8.58825
Denmark (Europe),2013,9.480483803659535
Egypt,2000,22.881416666666667
Egypt,2001,23.616333333333333
Egypt,2002,23.71625
Egypt,2003,23.496416666666665
Egypt,2004,23.511083333333332
Egypt,2005,23.52025
Egypt,2006,23.505666666666666
Egypt,2007,23.584333333333333
Egypt,2008,23.907916666666665
Egypt,2009,23.735
Egypt,2010,25.151916666666665
Egypt,2011,23.331416666666666
Egypt,2012,23.770916666666665
Egypt,2013,23.69281713699287
France (Europe),2000,11.738083333333334
France (Europe),2001,11.361583333333334
France (Europe),2002,11.767499999999998
France (Europe),2003,12.076916666666667
France (Europe),2004,11.266333333333334
France (Europe),2005,11.229083333333334
France (Europe),2006,11.871250000000002
France (Europe),2007,11.571833333333332
France (Europe),2008,11.20075
France (Europe),2009,11.6075
France (Europe),2010,10.531583333333334
France (Europe),2011,12.27275
France (Europe),2012,11.33175
France (Europe),2013,11.862150470326203
Germany,2000,10.020416666666668
Germany,2001,9.090416666666666
Germany,2002,9.637333333333332
Germany,2003,9.494250000000001
Germany,2004,9.053416666666667
Germany,2005,9.128416666666666
Germany,2006,9.706
Germany,2007,9.9975
Germany,2008,9.642166666666666
Germany,2009,9.359166666666667
Germany,2010,8.009
Germany,2011,9.819583333333334
Germany,2012,9.227166666666667
Germany,2013,10.119483803659536
Greece,2000,15.673333333333334
Greece,2001,15.931583333333334
Greece,2002,15.622333333333332
Greece,2003,15.472583333333333
Greece,2004,15.455666666666666
Greece,2005,15.175333333333333
Greece,2006,15.212666666666665
Greece,2007,16.08325
Greece,2008,16.054916666666667
Greece,2009,15.956166666666666
Greece,2010,16.37125
Greece,2011,15.261333333333333
Greece,2012,16.0395
Greece,2013,17.15792824810398
Iceland,2000,2.1032499999999996
Iceland,2001,2.364916666666667
Iceland,2002,2.665833333333333
Iceland,2003,3.3408333333333338
Iceland,2004,2.9484166666666667
Iceland,2005,2.2003333333333335
Iceland,2006,2.6824999999999997
Iceland,2007,2.5614166666666667
Iceland,2008,2.3129166666666667
Iceland,2009,2.464
Iceland,2010,2.6764166666666664
Iceland,2011,2.315416666666667
Iceland,2012,2.463416666666667
Iceland,2013,4.506150470326202
India,2000,24.498
India,2001,24.581916666666668
India,2002,24.913
India,2003,24.649916666666666
India,2004,24.634583333333335
India,2005,24.495416666666667
India,2006,24.732083333333335
India,2007,24.649916666666666
India,2008,24.406000000000002
India,2009,25.146666666666665
India,2010,25.050833333333333
India,2011,24.415583333333334
India,2012,24.640833333333333
India,2013,24.49992824810398
Israel,2000,20.230416666666667
Israel,2001,20.929750000000002
Israel,2002,20.728333333333335
Israel,2003,20.614
Israel,2004,20.4905
Israel,2005,20.43775
Israel,2006,20.409166666666668
Israel,2007,20.701583333333335
Israel,2008,20.930083333333332
Israel,2009,20.831416666666666
Israel,2010,22.311166666666665
Israel,2011,20.33125
Israel,2012,21.006083333333333
Israel,2013,20.774706025881756
Japan,2000,12.833833333333333
Japan,2001,12.450000000000001
Japan,2002,12.837333333333333
Japan,2003,12.507
Japan,2004,13.435666666666668
Japan,2005,12.555916666666667
Japan,2006,12.757083333333334
Japan,2007,13.192166666666667
Japan,2008,12.874916666666666
Japan,2009,12.933833333333332
Japan,2010,13.215583333333333
Japan,2011,12.73775
Japan,2012,12.565666666666667
Japan,2013,13.434594914770647
Russia,2000,6.627714285714285
Russia,2001,6.616714285714286
Russia,2002,4.258249999999999
Russia,2003,6.844285714285715
